"Nodos";"	";"Aristas";"	";"compCon";"	";"Peso";"	";"Comparaciones";"	";"Tiempo"
20;"	";152;"	";1;"	";157;"	";6659;"	";0.02
25;"	";226;"	";1;"	";159;"	";42471;"	";0.04
30;"	";360;"	";1;"	";158;"	";65545;"	";0.04
35;"	";468;"	";1;"	";175;"	";327618;"	";0.1
40;"	";608;"	";1;"	";179;"	";467966;"	";0.02
45;"	";774;"	";1;"	";197;"	";676293;"	";0.03
50;"	";926;"	";1;"	";233;"	";1684203;"	";0.06
55;"	";1132;"	";1;"	";210;"	";2548321;"	";0.06
60;"	";1392;"	";1;"	";250;"	";5328498;"	";0.11
65;"	";1680;"	";1;"	";203;"	";7253937;"	";0.15
70;"	";1882;"	";1;"	";239;"	";11750862;"	";0.25
75;"	";2202;"	";1;"	";228;"	";16211660;"	";0.35
80;"	";2506;"	";1;"	";228;"	";25777720;"	";0.5
85;"	";2790;"	";1;"	";238;"	";45982920;"	";0.92
90;"	";3152;"	";1;"	";261;"	";68447991;"	";1.32
95;"	";3510;"	";1;"	";257;"	";101953718;"	";1.87
100;"	";3870;"	";1;"	";262;"	";186504918;"	";3.24
;;;;;;;;;;
;;;;"Constructiva";;;;;;
;;;;;;;;;;
"Nodos";"	";"Aristas";"	";"compCon";"	";"Peso";"	";"Comparaciones";"	";"Tiempo"
20;"	";152;"	";0;"	";157;"	";287;"	";0
25;"	";226;"	";0;"	";159;"	";287;"	";0
30;"	";360;"	";0;"	";158;"	";348;"	";0
35;"	";468;"	";0;"	";175;"	";498;"	";0
40;"	";608;"	";0;"	";157;"	";510;"	";0
45;"	";774;"	";0;"	";185;"	";573;"	";0
50;"	";926;"	";0;"	";209;"	";646;"	";0
55;"	";1132;"	";0;"	";186;"	";646;"	";0
60;"	";1392;"	";0;"	";195;"	";741;"	";0
65;"	";1680;"	";0;"	";163;"	";980;"	";0.02
70;"	";1882;"	";0;"	";212;"	";935;"	";0
75;"	";2202;"	";0;"	";199;"	";914;"	";0
80;"	";2506;"	";0;"	";203;"	";1079;"	";0
85;"	";2790;"	";0;"	";189;"	";1124;"	";0
90;"	";3152;"	";0;"	";175;"	";1111;"	";0
95;"	";3510;"	";0;"	";193;"	";1184;"	";0
100;"	";3870;"	";0;"	";223;"	";1464;"	";0
