"Nodos";"	";"Aristas";"	";"compCon";"	";"Peso";"	";"Comparaciones";"	";"Tiempo"
20;"	";208;"	";1;"	";293;"	";4266;"	";0.02
25;"	";326;"	";1;"	";344;"	";13391;"	";0.02
30;"	";454;"	";1;"	";418;"	";32152;"	";0.03
35;"	";638;"	";1;"	";493;"	";65876;"	";0.04
40;"	";806;"	";1;"	";466;"	";168654;"	";0.02
45;"	";1044;"	";1;"	";494;"	";148923;"	";0.02
50;"	";1288;"	";1;"	";466;"	";280199;"	";0.02
55;"	";1602;"	";1;"	";504;"	";462818;"	";0.02
60;"	";1868;"	";1;"	";629;"	";633546;"	";0.02
65;"	";2196;"	";1;"	";536;"	";1219814;"	";0.03
70;"	";2582;"	";1;"	";522;"	";2183280;"	";0.05
75;"	";2910;"	";1;"	";503;"	";2923561;"	";0.06
80;"	";3320;"	";1;"	";602;"	";3218054;"	";0.07
85;"	";3798;"	";1;"	";603;"	";5612392;"	";0.11
90;"	";4200;"	";1;"	";613;"	";8796218;"	";0.17
95;"	";4718;"	";1;"	";581;"	";10565057;"	";0.18
100;"	";5194;"	";1;"	";592;"	";14211565;"	";0.27
;;;;;;;;;;
;;;;"Cconstructiva";;;;;;
;;;;;;;;;;
"Nodos";"	";"Aristas";"	";"compCon";"	";"Peso";"	";"Comparaciones";"	";"Tiempo"
20;"	";208;"	";0;"	";281;"	";235;"	";0
25;"	";326;"	";0;"	";303;"	";307;"	";0
30;"	";454;"	";0;"	";300;"	";415;"	";0
35;"	";638;"	";0;"	";412;"	";525;"	";0
40;"	";806;"	";0;"	";388;"	";536;"	";0
45;"	";1044;"	";0;"	";303;"	";683;"	";0
50;"	";1288;"	";0;"	";330;"	";748;"	";0
55;"	";1602;"	";0;"	";395;"	";838;"	";0
60;"	";1868;"	";0;"	";492;"	";1026;"	";0
65;"	";2196;"	";0;"	";457;"	";999;"	";0
70;"	";2582;"	";0;"	";351;"	";1034;"	";0
75;"	";2910;"	";0;"	";393;"	";1280;"	";0
80;"	";3320;"	";0;"	";602;"	";1393;"	";0
85;"	";3798;"	";0;"	";476;"	";1333;"	";0
90;"	";4200;"	";0;"	";505;"	";1530;"	";0
95;"	";4718;"	";0;"	";551;"	";1608;"	";0
100;"	";5194;"	";0;"	";494;"	";1679;"	";0
