"Nodos";"	";"Aristas";"	";"compCon";"	";"Peso";"	";"Comparaciones";"	";"Tiempo"
20;"	";144;"	";1;"	";1494;"	";9058;"	";0.03
25;"	";248;"	";1;"	";1198;"	";21860;"	";0.03
30;"	";346;"	";1;"	";1227;"	";50586;"	";0.05
35;"	";446;"	";1;"	";1307;"	";184365;"	";0.07
40;"	";612;"	";1;"	";1574;"	";477916;"	";0.03
45;"	";764;"	";1;"	";1668;"	";989013;"	";0.04
50;"	";964;"	";1;"	";1863;"	";1149479;"	";0.05
55;"	";1158;"	";1;"	";1880;"	";1815645;"	";0.06
60;"	";1398;"	";1;"	";1841;"	";3940239;"	";0.11
65;"	";1630;"	";1;"	";2041;"	";6541225;"	";0.18
70;"	";1858;"	";1;"	";1749;"	";8889546;"	";0.25
75;"	";2190;"	";1;"	";1876;"	";19629810;"	";0.49
80;"	";2502;"	";1;"	";2252;"	";34148897;"	";0.88
85;"	";2822;"	";1;"	";2154;"	";24830430;"	";0.67
90;"	";3150;"	";1;"	";2408;"	";57100196;"	";1.48
95;"	";3548;"	";1;"	";2555;"	";95501088;"	";2.34
100;"	";3926;"	";1;"	";2444;"	";145654487;"	";3.72
;;;;;;;;;;
;;;;"Constructiva";;;;;;
;;;;;;;;;;
"Nodos";"	";"Aristas";"	";"compCon";"	";"Peso";"	";"Comparaciones";"	";"Tiempo"
20;"	";144;"	";0;"	";929;"	";252;"	";0
25;"	";248;"	";0;"	";1198;"	";374;"	";0
30;"	";346;"	";0;"	";1201;"	";433;"	";0
35;"	";446;"	";0;"	";1121;"	";527;"	";0
40;"	";612;"	";0;"	";1431;"	";609;"	";0
45;"	";764;"	";0;"	";1406;"	";680;"	";0
50;"	";964;"	";0;"	";1753;"	";947;"	";0
55;"	";1158;"	";0;"	";1858;"	";911;"	";0
60;"	";1398;"	";0;"	";1756;"	";922;"	";0
65;"	";1630;"	";0;"	";1816;"	";1255;"	";0
70;"	";1858;"	";0;"	";1152;"	";1109;"	";0
75;"	";2190;"	";0;"	";1726;"	";1358;"	";0
80;"	";2502;"	";0;"	";1856;"	";1375;"	";0
85;"	";2822;"	";0;"	";2154;"	";1754;"	";0
90;"	";3150;"	";0;"	";2069;"	";1770;"	";0
95;"	";3548;"	";0;"	";1672;"	";1734;"	";0
100;"	";3926;"	";0;"	";2025;"	";1868;"	";0
